"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.296931833E0,-3.210205008E0,-9.293014920E-1,-5.944156641E-1,3.394458343E0
1.306900833E0,-2.229928660E0,-1.581604591E0,-1.948251325E-1,2.740804944E0
1.316870833E0,-1.473500099E0,-2.276511673E0,8.533484995E-2,2.713114442E0
1.326839834E0,-7.628255613E-1,-2.695668157E0,9.236963511E-2,2.803045094E0
1.336809834E0,1.645954661E-2,-2.826956275E0,1.781938970E-2,2.827060351E0
1.346779833E0,7.838590924E-1,-2.817922912E0,-1.691003072E-1,2.929798547E0
1.356748833E0,1.646265148E0,-2.886624772E0,-2.172503740E-1,3.330163545E0
1.366718833E0,2.349510944E0,-3.009763041E0,-6.549173892E-2,3.818790961E0
1.376687833E0,2.861118340E0,-3.077958532E0,-9.994645715E-3,4.202371565E0
1.386657833E0,3.089400364E0,-3.086813555E0,1.605920237E-1,4.370194770E0
1.396626833E0,3.004377170E0,-2.974539998E0,3.917046842E-1,4.245892479E0
1.406596833E0,2.782173035E0,-2.822176761E0,3.406295478E-1,3.977586826E0
1.416566833E0,2.445832712E0,-2.754840226E0,9.771340549E-2,3.685212373E0
1.426535833E0,2.130318125E0,-2.727231427E0,-1.606984431E-1,3.464371597E0
1.436505833E0,2.036984284E0,-2.781743850E0,-5.195856294E-1,3.486742469E0
1.446474833E0,2.147532474E0,-2.756680344E0,-8.412646437E-1,3.594288309E0
1.456444833E0,2.341166529E0,-2.689249669E0,-1.174440161E0,3.753989103E0
1.466414833E0,2.409707591E0,-2.606052561E0,-1.703810813E0,3.937152767E0
1.476383833E0,2.188815717E0,-2.298334066E0,-2.126226828E0,3.820221754E0
1.486353833E0,1.736539580E0,-1.727132433E0,-2.201786596E0,3.293390406E0
1.496322833E0,1.350038479E0,-1.293515784E0,-2.038123322E0,2.765815188E0
1.506292833E0,1.264309527E0,-1.081110413E0,-1.883189649E0,2.512704033E0
1.516261833E0,1.448825141E0,-8.946315962E-1,-1.719949713E0,2.420265894E0
1.526231833E0,1.832607433E0,-7.587323642E-1,-1.564881554E0,2.526455834E0
1.536201833E0,2.291688706E0,-6.454232651E-1,-1.502188585E0,2.815133897E0
1.546170834E0,2.560618818E0,-4.812252635E-1,-1.513838578E0,3.013312749E0
1.556140834E0,2.557519794E0,-2.380284548E-1,-1.688510404E0,3.073862786E0
1.566109833E0,2.302073945E0,-1.223278445E-1,-1.928483643E0,3.005587748E0
1.576079833E0,1.857696081E0,8.452208698E-2,-1.973537024E0,2.711646566E0
1.586048833E0,1.317483521E0,4.082391483E-1,-1.720403457E0,2.205041969E0
1.596018833E0,8.177285774E-1,8.176190883E-1,-1.341391616E0,1.771020177E0
1.605988833E0,4.681136133E-1,1.196457852E0,-7.491768444E-1,1.487248362E0
1.615957833E0,2.300188657E-1,1.528293772E0,-9.166621506E-2,1.548222602E0
1.625927833E0,1.812557915E-1,1.642271208E0,2.364827433E-1,1.669081325E0
1.635896833E0,1.773329676E-1,1.794595268E0,4.124494359E-1,1.849900996E0
1.645866833E0,3.095994707E-1,1.957976999E0,4.983973664E-1,2.043997479E0
1.655835833E0,6.403046125E-1,2.045415092E0,4.559629530E-1,2.191258796E0
1.665805833E0,1.042416463E0,2.023551183E0,3.647823492E-1,2.305310746E0
1.675775833E0,1.360240701E0,1.949149457E0,8.288574368E-2,2.378299480E0
1.685744833E0,1.488999605E0,1.950927011E0,-1.983337542E-1,2.462229133E0
1.695714833E0,1.537169553E0,2.035035700E0,-2.105404016E-1,2.559020866E0
1.705683833E0,1.656599956E0,2.186127167E0,-1.101831776E-1,2.745107600E0
1.715653833E0,1.837970645E0,2.187563244E0,-2.769475222E-2,2.857330229E0
1.725623833E0,2.112474762E0,2.118642113E0,1.024984744E-1,2.993609854E0
1.735592833E0,2.231476564E0,1.886945023E0,1.801527143E-3,2.922336808E0
1.745562833E0,1.898429393E0,1.607879639E0,-2.829379946E-1,2.503870005E0
1.755531834E0,1.222455303E0,1.254675654E0,-2.570383376E-1,1.770501814E0
1.765501834E0,6.301747499E-1,7.068704849E-1,-3.158724368E-1,9.982792667E-1
1.775470833E0,2.258598874E-1,2.656904626E-1,-6.081268001E-1,7.010152035E-1
1.785440833E0,4.360561804E-1,-2.427442342E-1,-6.847409664E-1,8.473133699E-1
1.795410833E0,6.909678856E-1,-2.285121113E-1,-5.535753478E-1,9.143850774E-1
1.805379833E0,5.411313035E-1,-7.963907719E-3,-6.599927723E-1,8.535086238E-1
1.815349833E0,6.127458812E-1,1.182289463E-1,-5.293263598E-1,8.183043406E-1
1.825318833E0,7.287504736E-1,2.553590173E-1,-4.397458465E-1,8.886292196E-1
1.835288833E0,7.342992619E-1,3.320505130E-1,-5.860588966E-1,9.964526981E-1
1.845257833E0,6.158606929E-1,4.143266845E-1,-7.639412101E-1,1.065155936E0
1.855227833E0,3.257472146E-1,5.551252985E-1,-7.569912095E-1,9.936352631E-1
1.865197833E0,-4.076421475E-1,7.136450690E-1,-8.321845025E-1,1.169612094E0
1.875166833E0,-1.361337492E0,9.811709726E-1,-1.333958636E0,2.143684186E0
1.885136833E0,-2.101087894E0,1.175934125E0,-1.666124924E0,2.928030681E0
1.895105833E0,-2.714114076E0,1.340269536E0,-1.739092328E0,3.491014147E0
1.905075833E0,-3.137491373E0,1.458789673E0,-2.008861808E0,4.000930541E0
1.915045833E0,-3.452315989E0,1.517170029E0,-2.200610721E0,4.366117054E0
1.925014833E0,-3.431922070E0,1.468777303E0,-1.856954069E0,4.169373367E0
1.934984833E0,-3.125308700E0,1.286841772E0,-1.269094303E0,3.610279292E0
1.944953833E0,-2.808659168E0,1.060472081E0,-6.621661824E-1,3.074350567E0
1.954923833E0,-2.400371780E0,6.969360656E-1,-2.223403752E-2,2.499599751E0
1.964892833E0,-1.949282189E0,2.041941261E-1,4.180255600E-1,2.004031353E0
1.974862834E0,-1.667071734E0,-2.627902436E-1,5.812576747E-1,1.784950241E0
1.984832834E0,-1.629900546E0,-6.116988641E-1,3.545353961E-1,1.776639141E0
1.994801833E0,-1.777061515E0,-8.646459049E-1,-1.683413386E-1,1.983405903E0
2.004771833E0,-1.973484984E0,-1.042088435E0,-6.752662113E-1,2.331646574E0
2.014740833E0,-2.280411912E0,-1.196386515E0,-1.033294734E0,2.774764348E0
2.024710833E0,-2.724810095E0,-1.252778817E0,-1.053843092E0,3.178778080E0
2.034680833E0,-3.084416782E0,-1.271349574E0,-8.807924062E-1,3.450471256E0
2.044649833E0,-3.179281716E0,-1.360893835E0,-6.498554546E-1,3.518831677E0
2.054619833E0,-3.101986203E0,-1.428290012E0,-3.655375171E-1,3.434523029E0
2.064588833E0,-2.928056388E0,-1.519303093E0,7.780670598E-2,3.299674224E0
2.074558833E0,-2.751078127E0,-1.689605003E0,5.581956714E-1,3.276397158E0
2.084527833E0,-2.680486739E0,-1.906519747E0,1.067552474E0,3.458250278E0
2.094497833E0,-2.797288672E0,-2.121570398E0,1.484741371E0,3.811868546E0
2.104467833E0,-3.101283952E0,-2.289993013E0,1.720847992E0,4.221770714E0
2.114435958E0,-3.420088768E0,-2.372218314E0,1.869577623E0,4.562866138E0
2.124405958E0,-3.688619808E0,-2.402201082E0,2.041242519E0,4.852129135E0
2.134374958E0,-3.732588823E0,-2.380271099E0,2.143616009E0,4.918637964E0
2.144344958E0,-3.535919186E0,-2.377746271E0,2.291530831E0,4.838131393E0
2.154313958E0,-3.354556391E0,-2.421457717E0,2.473828304E0,4.820407921E0
2.164283958E0,-3.201022541E0,-2.457072523E0,2.712245014E0,4.862100750E0
2.174253958E0,-2.754525938E0,-2.481126214E0,2.997079260E0,4.767167348E0
2.184222958E0,-2.276317838E0,-2.417673984E0,3.206426245E0,4.616052389E0
2.194192958E0,-1.861684467E0,-2.280480178E0,3.533180058E0,4.598893369E0
2.204161958E0,-1.513870153E0,-2.136116517E0,3.741877125E0,4.566885266E0
2.214131958E0,-1.274517011E0,-1.944631314E0,3.782081995E0,4.439609079E0
2.224101958E0,-1.165802946E0,-1.648461070E0,3.421078994E0,3.972442811E0
2.234070958E0,-1.145499367E0,-1.310477972E0,2.884691098E0,3.369119179E0
2.244040958E0,-1.063505909E0,-1.031612563E0,2.480699075E0,2.889487359E0
2.254009958E0,-8.429299307E-1,-8.977996176E-1,2.250039866E0,2.565005735E0
2.263979958E0,-5.958926708E-1,-9.220240474E-1,2.205983727E0,2.464057756E0
2.273948958E0,-3.608971667E-1,-1.101799031E0,2.262632575E0,2.542383536E0
2.283918958E0,-1.295222586E-1,-1.396005780E0,2.330594909E0,2.719794254E0
2.293888958E0,-2.303890675E-2,-1.728722291E0,2.372070964E0,2.935256753E0
2.303857958E0,1.231715977E-2,-2.042506102E0,2.336349154E0,3.103306343E0
2.313827958E0,6.373757422E-2,-2.303096039E0,2.212256328E0,3.194118329E0
2.323796958E0,2.451293135E-1,-2.538339465E0,2.013526424E0,3.249237492E0
2.333766958E0,3.188951549E-1,-2.633031614E0,1.727734696E0,3.165377826E0
2.343736958E0,2.750629646E-1,-2.534359265E0,1.501650934E0,2.958646996E0
2.353705958E0,2.598160574E-1,-2.367592582E0,1.336931068E0,2.731370296E0
2.363675958E0,3.441913792E-1,-2.204150040E0,1.219302338E0,2.542330289E0
2.373644958E0,4.160665235E-1,-2.022256610E0,1.166377143E0,2.371301075E0
2.383614958E0,5.079666272E-1,-1.773030152E0,1.048777065E0,2.121697280E0
2.393583958E0,6.104300183E-1,-1.541676294E0,7.495665613E-1,1.819681465E0
2.403553958E0,6.429349825E-1,-1.230486308E0,3.852999365E-1,1.440804632E0
2.413523958E0,7.075399911E-1,-8.449711937E-1,1.966740221E-1,1.119495345E0
2.423492958E0,8.449726555E-1,-4.321718019E-1,1.408670264E-1,9.594763020E-1
2.433462958E0,1.072063016E0,-2.293336451E-2,-2.337716818E-2,1.072563071E0
2.443431958E0,1.428563369E0,3.975235409E-1,-4.202116147E-1,1.541231996E0
2.453401958E0,1.909029079E0,8.267805058E-1,-9.786967233E-1,2.299087929E0
2.463371958E0,2.334979736E0,1.316179007E0,-1.390871632E0,3.019765131E0
2.473340958E0,2.601922672E0,1.852039484E0,-1.670822285E0,3.604399943E0
2.483310958E0,3.034639142E0,2.401778328E0,-1.610522581E0,4.191820230E0
2.493279958E0,3.640301926E0,2.800772443E0,-1.338805978E0,4.784195422E0
2.503249958E0,4.295117866E0,3.211121852E0,-1.097589621E0,5.473942273E0
2.513218958E0,4.872811370E0,3.598518015E0,-9.448498231E-1,6.130771872E0
2.523188958E0,5.411373553E0,3.860983154E0,-9.883367354E-1,6.720637183E0
2.533158958E0,5.785738027E0,4.038758390E0,-1.029659593E0,7.130675475E0
2.543127958E0,5.791575302E0,4.189495516E0,-8.829231316E-1,7.202344786E0
2.553097958E0,5.807452247E0,4.255299497E0,-7.598138067E-1,7.239571288E0
2.563066958E0,5.670512795E0,4.228688818E0,-6.158819622E-1,7.100410909E0
2.573036958E0,5.166030232E0,4.287931053E0,-3.917706116E-1,6.725154666E0
2.583006958E0,4.895124345E0,4.252668250E0,-5.032735057E-1,6.503899893E0
2.592975958E0,4.299765525E0,4.377586995E0,-8.297106917E-1,6.191903690E0
2.602945958E0,3.548602089E0,4.493247845E0,-1.108068855E0,5.831780994E0
2.612914958E0,2.884881425E0,4.406278698E0,-1.473261532E0,5.468851099E0
2.622884958E0,2.254674369E0,4.125411787E0,-1.758850070E0,5.019574931E0
2.632853958E0,1.674995589E0,3.752561742E0,-1.780668370E0,4.478628104E0
2.642823958E0,1.202646691E0,3.360648605E0,-1.626759714E0,3.922584005E0
2.652793958E0,7.976403219E-1,3.032004679E0,-1.408073848E0,3.436852400E0
2.662762958E0,3.552497797E-1,2.797373457E0,-1.268506073E0,3.092023338E0
2.672732958E0,-1.359778040E-1,2.601678259E0,-1.175593744E0,2.858188303E0
2.682701958E0,-6.602203752E-1,2.415656109E0,-1.182946106E0,2.769593268E0
2.692671958E0,-1.055016629E0,2.130069911E0,-1.368619176E0,2.742877387E0
2.702641958E0,-1.227152664E0,1.856642413E0,-1.523094428E0,2.696820599E0
2.712610958E0,-1.285115089E0,1.620801986E0,-1.447540800E0,2.524657252E0
2.722580958E0,-1.211092336E0,1.430024296E0,-1.078926478E0,2.162359008E0
2.732549958E0,-1.056784827E0,1.178248453E0,-4.064931697E-1,1.634105346E0
2.742519958E0,-8.419852399E-1,7.865428913E-1,5.306044880E-1,1.268514874E0
2.752488958E0,-5.953152582E-1,4.004377931E-1,1.491285574E0,1.654896778E0
2.762458958E0,-2.315640655E-1,7.235110760E-2,2.492249372E0,2.504029459E0
2.772428958E0,3.306009152E-1,-3.310231572E-1,3.477449076E0,3.508778331E0
2.782397958E0,8.850301027E-1,-8.313974673E-1,4.266218587E0,4.435664670E0
